Time,CF 3.0 V (1-1),CF 2.0 V (2-1),CF 2.5 V (3-1),CF 2.0 V (3-2),CF 2.0 V (4-1),CF 1.5 V (5-1),CF 1.5 V (6-1),CF 3.0 V (8-2),CF X-Ray,MC 1.5 V (1-2),MC 2.0 V (2-1),MC 2.5 V (2-2),MC 2.5 V (3-1),MC 3.0 V (4-1),MC 2.5 V (5-1),MC 2.0 V (5-2),MC 1.5 V (7-1),MC X-Ray
15.66666667,0.306930825,0.296885941,0.30260186,0.304357254,0.301009307,0.299713586,0.299878905,0.304555592,0.30133915,0.302586995,0.292484918,0.301126006,0.319548095,0.313310416,0.299312455,0.304195057,0.302377889,0.289455021
15.83333333,0.307213455,0.297051251,0.302490849,0.304359699,0.300907471,0.299925189,0.299979687,0.30463462,0.30130331,0.302591332,0.292560586,0.301159573,0.319688585,0.31328782,0.299352953,0.304421421,0.302319327,0.289503742
16,0.307326589,0.297428317,0.302686864,0.304495818,0.300957976,0.299820564,0.300254497,0.304678097,0.301513943,0.302781099,0.292748079,0.301034601,0.319743137,0.313386858,0.299445708,0.304509098,0.302480502,0.28965979
16.16666667,0.307485783,0.297471571,0.302514744,0.30446002,0.301128243,0.300029358,0.300242949,0.304798105,0.301493324,0.30276081,0.293012637,0.301070411,0.320097104,0.313845066,0.299544196,0.304621325,0.302615014,0.289717064
16.33333333,0.30759052,0.297473569,0.302422426,0.304672281,0.301178845,0.300260864,0.300491898,0.304823962,0.301719953,0.302837162,0.292818814,0.301066256,0.320180839,0.313863603,0.299739653,0.304723084,0.302792545,0.289906871
16.5,0.307832636,0.29771922,0.302326715,0.30453018,0.301329109,0.300362488,0.30067072,0.304873037,0.301578544,0.303056982,0.292986263,0.301308984,0.320625956,0.313985766,0.29969876,0.304791282,0.302731056,0.290085668
16.66666667,0.307823507,0.297809544,0.302510388,0.304500159,0.301363247,0.300530328,0.300755528,0.304915761,0.301871413,0.30312758,0.292699925,0.301523696,0.320444459,0.314102228,0.299581641,0.305049675,0.302930376,0.29018487
16.83333333,0.307933259,0.298231874,0.302760026,0.304598696,0.301571891,0.301066826,0.300903716,0.305057155,0.301773688,0.30319646,0.292757985,0.301390388,0.320904579,0.314482978,0.300073813,0.304960287,0.30309461,0.290104295
17,0.307982164,0.298208013,0.302817097,0.304793493,0.301624991,0.301337254,0.301103314,0.30508162,0.301965062,0.303305566,0.293121787,0.301442759,0.321038411,0.314727889,0.299877249,0.305093629,0.30323432,0.290541078
17.16666667,0.308031974,0.298383513,0.302860321,0.304964019,0.301619917,0.301304206,0.301143308,0.305153584,0.301960896,0.303447301,0.293239602,0.301467361,0.321215668,0.314737927,0.299998403,0.305273988,0.303347824,0.290658986
17.33333333,0.308239272,0.298561055,0.302747839,0.304890719,0.301687814,0.301768784,0.301221244,0.305197907,0.302041848,0.303381744,0.293424924,0.301469335,0.321448944,0.314813055,0.30001804,0.305329426,0.303284297,0.2905363
17.5,0.308300884,0.298971078,0.303240545,0.304949134,0.301763908,0.301633938,0.301508873,0.305157394,0.302098853,0.303607899,0.293362299,0.301558972,0.321483786,0.314942217,0.299896826,0.305352007,0.303529318,0.290839854
17.66666667,0.30844394,0.298994661,0.30329101,0.304843309,0.301874426,0.301898927,0.301507422,0.305256558,0.302260562,0.303625189,0.293291292,0.301694022,0.321624842,0.315131751,0.299979416,0.305398454,0.303495607,0.290842647
17.83333333,0.308494354,0.299033817,0.303335979,0.304981883,0.301985572,0.301847989,0.301786347,0.30540563,0.302299491,0.303717432,0.293153542,0.301851119,0.321959603,0.315246472,0.299983857,0.305577565,0.30370929,0.29080797
18,0.308640519,0.29920637,0.303542883,0.305206635,0.302186574,0.301949283,0.301732136,0.305389748,0.302497567,0.303746263,0.2931265,0.301905625,0.322037596,0.315409212,0.300383274,0.305790622,0.303883862,0.291137126
